Content,Reactions,Comments,Reposts,Poster,Location
The City of Yellowknife is declaring a state of emergency. This DOES NOT mean the City is under threat. It is NOT an evacuation order or alert. But it does allow the City to force contractors to give up their contractual obligations to help protect the City of need be. More details to be announced at 6pm press conference,7,2 comments,2 comments,Hilary Bird,
Another $300 for evacuation folks,36,10 comments,10 comments,Northwest Territory Métis Nation,
WILDFIRE EVACUATION ASSISTANCEThe Northwest Territory Métis Nation has received approval from the three Métis local governments (Fort Resolution Métis Governm… See more,,,,Northwest Territory Métis Nation,
Gees went to multiplex to register for flight out because of evacuation order told to go home n register online for further instructions Thought can register tonight I hope everyone gets registered out for a flight evacuation to Alberta,8,17 comments,17 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
Evacuation orders have been issued for residents in the town of Hay River and K’atl’odeeche First Nation in the Northwest Territories due to a wildfire. Approximately 15 buildings on the K’atl’odeeche First Nation reserve have been damaged.,121,,,CBC News,
"A heartfelt message from the Tłı̨chǫ Government and all Tłı̨chǫ citizens - welcoming ALL those returning ""home"" after the Yellowknife wildfire evacuation. This … See more",,,,Tlicho,
"evacuation update - click on my artist page link to get the deets. ok, it's a teaser cuz I keep my family off social media pretty fierce - but there's some pictures and thank-you's that just don't feel like they'll ever been enough.summary: we're ok, and almost home!",61,5 comments,5 comments,Carmen Braden,
Hi all - evacuation update (…from when we evacuated Yellowknife along with the entire city and several other towns due to wildfires over 3 weeks ago…). And a fe… See more,,,,Carmen Braden,
"Wonder if they're  gonna  pull the same crap they did in Maui and Alberta,  evacuate, then close the roads. Not sure if they pulled  that crap out east..If you aren't  suspicious  at this point,  go get some crickets  to snack on so you can watch  the shit show unraveling  around  you,hopefully  you're not eating  toasted crickets, otherwise  get your  popcorn,  if the conditions call for  it, this show doesn't  seem to end Fyi Alberta,  we're getting  some displaced Canadians",2,2 comments,2 comments,Monika Holub,
"PRE- REGISTRATION FOR RE-ENTRY FLIGHTS NOW OPENPre-registration for Yellowknife re-entry flights is now available for evacuees from Yellowknife, Dettah, Ndilǫ and the Ingraham Trail.Pre-registration allows for passenger lists to be created before a flight date and time is confirmed. This means that flights can be scheduled and depart as quickly as possible once an evacuation order is lifted.… See more",2,6 comments,6 comments,Caitlin Cleveland,
Interview video with more information can be seen here.,4,2 comments,2 comments,We The People Constitutional Conventions,
"This is, in fact, the opposite of what Emergency Response Planning is. And what 'evacuation framework'?'In the spring and earlier this summer, Yellowknife Mayor Rebecca Alty said the city's emergency plan didn't get into specifics because there were ""so many different scenarios"" that could affect an emergency response. ""There's so many different variables that would go into it,"" she said in an earlier interview with CBC News. ""It's about having an evacuation framework and… See more",14,27 comments,27 comments,Katrina Nokleby,
Information about centres included. From information on the ground Red Deer seems like the best place to seek assistance at the moment if you are able to travel there and are having challenges elsewhere. Once again thanks to the Government of Alberta and cities and towns across Alberta for your open arms and support.,1,,,Yellowknife current events,
"Please read this entire post, as it has important information for those evacuating Yellowknife. An evacuation order has been issued for residents in Yellowknife, N’dilo, Dettah, and the Ingraham Trail due to wildfire. All residents, including families of essential staff, must evacuate by TODAY - Friday, August 18, 2023.Air evacuation is in process. Go to Sir John Franklin School to register and get on flights. If you need a ride, call 867-444-0115. Currently, there are no… See more",101,46 comments,46 comments,City of Yellowknife,
"Pre-registration for Yellowknife re-entry flights is now available for evacuees from Yellowknife, Dettah, Ndilǫ and the Ingraham Trail. Pre-registration is the first step in developing passenger lists for re-entry flights. From there, appropriate aircraft will be booked based on need in established flight hubs.  Pending evacuation orders being downgraded to an evacuation alert, flights will depart as early as Wednesday, September 6 and continue for an estimated fiv… See more",59,18 comments,18 comments,Government of the Northwest Territories,
"The Salvation Army in Yellowknife reopened its doors for the first time since the city-wide evacuation due to wildfires in the region. Most Salvation Army clients were evacuated to Calgary, where they continued receiving support from staff who travelled with them.Read the full article →",28,,,The Salvation Army in Canada,
Latest updates on evacuation centres in Alberta on www . NNSL . comIf you're from Yellowknife don't head to Valleyview - it's full.,1,,,Yellowknife current events,
Risk Control is offering both free and paid patrols of homes and businesses in Yellowknife during the evacuation period. See the post below.,3,,,Risk Control Canada,
**Residential and Business Evacuation Patrol Services in Yellowknife. No-charge and paid options both available**Our Risk Control Canada staff are still on th… See more,,,,Risk Control Canada,
The city of Yellowknife is currently under evacuation orders due to encroaching wildfires. This includes The Salvation Army’s Northwest Territories community centre and corps. An incident command centre has been established and clients will be relocated to other Army facilities in Alberta. Please pray for safety for all Yellowknife residents.,135,15 comments,15 comments,Salvationist Magazine,
"The recording of the NWT Update will be available at https://www.yellowknife.ca/.../city-government-webcast... under Wildfire Updates when it is released. NWT update with Mayor Jameson will be live streamed at:  https://www.yellowknife.ca/.../city-government-webcast...tonight at 6pm September 7, 2023.  Topics about the fire and evacuation will be covered.",17,12 comments,12 comments,"Town of Hay River, NT",
"EVACUATION ORDER in Yellowknife, Canada’s Northwest TerritoriesResidents must leave by Friday due to approaching wildfire.",37,6 comments,6 comments,Ella Lane,
Fire was within 10 miles of Yellowknife on Wednesday. Residents of the city have been told to be out by noon Friday because winds could push the fire toward the highway needed for evacuation.,17,,,The Christian Science Monitor,
08.17.23Canadian officials ordered the evacuation of the Northwest Territories' capital of Yellowknife and several smaller communities on Wednesday (August 16) as a massive wildfire threatened the town of Hay River overnight. So far no deaths have been reported from the Yellowknife fire but several structures have been destroyed.,2,,,Biblical Judgment by Fires - Written by  Vicki Lucas,
"A fierce wind-driven wildfire on Thursday had nearly reached the city of Yellowknife, the capital of Canada's Nortwestern Territories. The fire prompted evacuation orders and even airlift plans for thousands of people.",15,1 comment,1 comment,LEX 18,
"We’re trying to support local small business this Christmas season, especially those that supported their staff and the community during the evacuation. Thanks to Wesclean Yellowknife for making that an even easier decision with great service and selection! Mr. EIEIO is so excited for that mop head!",7,2 comments,2 comments,EIEIO Farm,
"Did you know? Take a look at the pictures.  Evacuate 20,000 people?",,,,Pat Templeton,
Good job boys,25,9 comments,9 comments,Amy Tinqui,Bipin Dhakal
"Volunteers at work. Behchoko Wildfire Evacuation at Multiplex in Yellowknife, NT",,,,Bipin Dhakal,
Experienced the most eerie morning in Yellowknife in my entire life. It has been almost 2 weeks since I returned home from the 3+ week evacuation (forest fires)… See more,,,,Tawna Brown Photography,"Yellowknife, NT"
Our son and crew flew a large number of people out of Yellowknife during the massive evacuation of the city!,33,2 comments,2 comments,Susan Strader,
Helped board and load and got to start the last evacuation flight out of YZF tonight #canadiannorth #nwtfires,,,,Michael Strader,
Sending good vibes for all my Hunter Family to be safe,1,4 comments,4 comments,Janet Elizabeth Koehler,
"# Northernmost Strip Club in Canada Remains Open During Yellowknife Evacuation Multiple wildfires have led to a full evacuation of Yellowknife, with 19,000 people displaced. However, a few businesses, including Canada's northernmost strip club, continue to operate to serve the remaining residents, primarily essential workers and contractors. Scott Yuill, the owner of Harley's Hardrock Saloon, has been actively involved in relief efforts, transporting supplies and offering ass… See more",,,,OpenCanuck.com,
"An evacuation order was lifted for the northern Canadian city of Yellowknife on Wednesday, three weeks after a nearby wildfire forced the city’s 20,000 residents out of their homes.",1,2 comments,2 comments,INQUIRER.net,
"Canadian fire crews on Thursday battled to prevent wildfires from reaching the northern city of Yellowknife, where all 20,000 residents are leaving by car and plane after an evacuation order was declared. This report produced by Freddie Joyner.",1,,,Biblical Judgment by Fires - Written by  Vicki Lucas,
"Selfies with everyone at the Yellowknife International Film Festival!  Such a great time!  I enjoyed meeting & hanging out with so many great people. Everyone is so welcoming, always feels like home.Sadetło Scott, Co-Creator of Nihtâwikihew, graduated university this year, model and so much more, she is down to earth but also fabulous, and fun!Simon Bird, also known as Cree Simon Says on fb (he has an awesome page dedicated to teaching Cree language). He fit right in in Y… See more",657,12 comments,12 comments,Christina King,
Please delete if not allowed. Wishing everyone a Happy Holiday,,,,"Behchoko-Buy, Sell and Trade",
"For anyone who has litters of puppies, please make sure that they are vaccinated right away. They can have their first shots at 6 weeks. Second shots at 10 weeks… See more",,,,Dana Mackenzie,
"Canadian fire crews battled to prevent wildfires from reaching the northern city of Yellowknife, where all 20,000 residents are leaving by car and plane after authorities declared an evacuation order.",73,10 comments,10 comments,Reuters,
16x20” painting of fireweed and a caribou in autumn. I’ve been thinking about fireweed lately since witnessing the devastated regions on our long drive back to Yellowknife. There was at least a hundred kilometres of burnt forest along the roadside. Fireweed will be one of the first plants to visibly reemerge from the soot next summer. Always a hopeful thing to see....… See more,37,6 comments,6 comments,Jessica McVicker Art,
"Wildfires have forced an evacuation of Yellowknife, the capital of Canada’s Northwest Territories.",,,,Bloomberg Green,
"All 20,000 residents of the northern Canadian city of Yellowknife are leaving town after an evacuation order was declared as wildfires move close.",77,3 comments,3 comments,Reuters,
"Hey Hay Riverites,FYI from your town!",1,,,"Garett Cochrane, Yellowknife City Councillor",
*****FLASH****Can people that evacuated to Yellowknife please call 1 867 444 0618 to let them know you are in the city.  We are trying to organize a flight fro… See more,,,,"Town of Hay River, NT",
"Yellowknife is doing a phased evacuation due to the wildfires. Info on the CBC North website “Minister orders everyone out of Yellowknife, Dettah, Ndilǫ and the Ingraham trail by noon Friday”",9,15 comments,15 comments,Lewis Rifkind,
"A massive wildfire in Canada's western province of British Columbia prompted more evacuation orders early on Friday, as firefighters race against advancing flames to move all residents from the remote northern city of Yellowknife to safety.",31,,,Reuters,
"Good Morning Members, Due to the current evacuation of Yellowknife, registration may be postponed. We are continuing to work on getting our member this information. Thank you for your understanding.",38,6 comments,6 comments,Yellowknife Gymnastics Club,
"The city of Yellowknife, Northwest Territories, is being evacuated due to forest fires.  CBC Radio One (CFYK-FM) has live streaming if you want to tune in to listen to details on the fires and the evacuation.",5,3 comments,3 comments,International Radio Report,
"Air Canada said it is capping fares and adding flights on Thursday from Yellowknife, a northern Canadian city facing an evacuation order due to wildfires, as social media users complain of soaring prices by multiple carriers.",29,3 comments,3 comments,Reuters,
"Standing with wildfire evacuees during these tough times. If you have been displaced by the fires, we're here to help with special rates on essential baby gear like cribs, pack n plays, strollers, and more. Show proof of address from an evacuated town and let us support you and your little one. Your family's comfort and well-being are our priority. #BCWildfire #bcwildfire #bcevacuees #bcevacuee #wildfire #wildfires #yellowknifeevacuees #yellowknifeevacuated #yellowknifeevac… See more",,,,BabyQuip Gear Rentals and Cleaning - Erica Hudson,"Red Deer, AB"
"The wildfire threat to Yellowknife has become serious, the N.W.T.’s minister of municipal and community affairs, Shane Thompson, told a news conference Tuesday evening. (via CBC News )",1,,,Eye on the Arctic / Regard sur l'Arctique,
"# Bradley Dawley’s Unexpected Wedding Amidst Wildfire Evacuation Yellowknife resident Bradley Dawley's week took an unforeseen turn as he and his fiancée faced the threat of nearby wildfires while preparing to tie the knot. With an evacuation order in place for the city, their original wedding plans dissipated. However, they swiftly adapted and made the decision to accelerate their nuptials. Since their parents had already arrived for the ceremony and their photographer was s… See more",,,,OpenCanuck.com,
The City of Whitehorse is sending firefighters to the city of Yellowknife to support response and evacuation efforts. Read the full PSA at:,34,1 comment,1 comment,"City of Whitehorse, Yukon",
"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order - Only essential workers who have been contacted are being allowed back now, and everyone else is being told to stay where they are until the evacuation lifts on Wednesday. -",,,,Form maker,
Andrew Bolt? Greg Sheridan? Janet Albrechsten? Peta Credlin? Tony Abbott? Scott Morrison? Rupert Murdoch? What was that you were saying about climate change not existing...,5,3 comments,3 comments,John Martinkus,
"Canadian fire crews on Thursday battled to prevent wildfires from reaching the northern city of Yellowknife, where all 20,000 residents are leaving by car and plane after an evacuation order was declared.",6,1 comment,1 comment,Jim McHenry,
"The evacuation of Yellowknife is throwing me for a loop. I lived there for four years, and don’t remember forest fires even being discussed.",6,3 comments,3 comments,Ralph Armstrong,
"Wildfires burning around Yellowknife, the capital of Canada's Northwest Territories, forced the city's government to order the evacuation of thousands of people on Wednesday night and Thursday morning.",24,2 comments,2 comments,Axios,
"Evacuation Order Yellowknife today, Wed. Aug 16th, Take care n be safe, Check up on each other, buddy up w friends, stay together",11,3 comments,3 comments,Mary Jane Kunkel,
Aircraft assiting with evacuation.  Yellowknife to Edmonton and Calgary,12,6 comments,6 comments,Cindy Piggott,Daren Piggott
"""Thousands of vehicles are expected to flood the roads of Yellowknife today as the three-week evacuation order is finally lifted. After being forced to flee due to an encroaching wildfire on August 16, more than 20,000 people are now preparing to make the journey back home. However, their return is dependent on fire and highway conditions remaining stable. While the news brings relief to those who can finally return to their homes, it also serves as a reminder of the thousand… See more",,,,OpenCanuck.com,
https://youtu.be/ify3uKKc280,3,,,Huy Ha,
Thank you Ted for your endorsement! Working for the Yellowknives Dene was so rewarding and a real eye-opener to the unique opportunities and challenges for First Nations in the NWT. I will always remember the kindness of YKDFN and work to support the goals and aspirations of the First Nation. #RangeLake #testart2023 #nwtpoli #ykdfn,5,,,Kieron Testart,
"""I proudly endorse Kieron Testart for MLA of Yellowknife Range Lake. As Councilor of the Yellowknives Dene First Nation, I worked closely with Kieron when he le… See more",,,,Kieron Testart,
"Evacuation orders have been issued in Yellowknife and Kelowna, as wildfires continue to pose a threat to Canadians.",12,1 comment,1 comment,True North,
A full evacuation order for Yellowknife has been issued. Our family is safe.,46,14 comments,14 comments,Wade Friesen,
"“I’am evacuated from my home in Yellowknife, staying in my hotel with my family & my parents staying down the hall as well”- Everyone else who is staying in this hotel for evacuation! Are getting letters since we all got here! They slide it under the door!… See more",42,39 comments,39 comments,Caitlin Goulet-Beaulieu,
The information coming out on this is very upsetting because we are all so displaced and really miss home!  This type of behaviour from a politician creates divisiveness and honestly .. she broke an evacuation order .. the optics are not good!  Rant directed straight at Nokleby! … See more,83,55 comments,55 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"The City of Yellowknife has declared a local state of emergency. This can be stressful to hear, and I’m sure a lot of you are wondering what this means and why it was done now. To be clear, this is not an evacuation notice, alert, or order.What it means:A state of emergency allows the City to use private property and require qualified people to help combat the emergency. This means all of the resources in the city can be used to build protections on the west side of town. … See more",7,4 comments,4 comments,"Tom McLennan, Yellowknife City Councillor",
"So, City of Yellowknife turns over control to GNWT to issue the evacuation order….but then issues a Return Home statement stating public can return the day AFTER essential workers return?? Without GNWT input? I am confusion.",21,27 comments,27 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"Following the evacuation prompted by the Yellowknife fire, residents are confronted with a formidable challenge. In the wake of this event, our collective solidarity assumes paramount significance. While governmental support is currently in progress, a particular necessity has come to the fore.The affected Muslim families have expressed their requirement for halal food. In response, the Pakistani community and various organizations, including PCAE Edmonton, have admirably t… See more",11,3 comments,3 comments,Pakistan Canada Association of Edmonton,
"Canada is burning. Over 5500 wild fires since the start of 2023. Yellowknife is under full evacuation, the entire population. Everyone OUT by tomorrow afternoon. 20k people. … See more",,10 comments,10 comments,Nadine-Lydia Choisil,
"I am an RN staying to evacuate patients - that will likely happen around 5:30pm today. When I am released of duty (could be after evacuation but has not been made clear yet), I am going to try to drive out with a convoy of other nurses. If there is anyone with pets that they would like me to take, please comment or message me as soon as possible. If the roads are no longer passable I will still try my hardest to take pets with me if needed on whatever flight I am sent out on.… See more",59,27 comments,27 comments,Families With Pets Evacuating Yellowknife 2023,
Behchokǫ̀/Yellowknife Fire (ZF015) – August 7 (8PM)The ignition on the northern side of highway has been successful so far. The smoke column is moving in a no… See more,,,,NWT Fire,
"Today we said goodbye to Yellowknife for good. It was a difficult and emotional departure under circumstances that neither one of us could have ever imagined. As we drove along Highway 3, we saw the fire  burning alongside the road and smelled the smoky air. We witnessed the terrible destruction in Enterprise - forest, homes, playgrounds, and cars burnt beyond recognition, as well as twisted metal that was anybody’s guess as to was originally. It was almost like a hurricane … See more",44,20 comments,20 comments,Sue Elizabeth,"Peace River, AB, Canada"
"In accordance with government evacuation orders, Northland Utilities has retained only critical staff in Hay River to ensure the operation of the plant and support firefighting efforts. We are committed to maintaining power in Hay River as long as it remains safe to do so; however, there may be intermittent outages as we are required to de-energize specific areas of the town to aid wildfire control efforts.Until it is safe for our Hay River team to return, our team in Yel… See more",21,2 comments,2 comments,Northland Utilities,
"Still about 20 km out of Yellowknife. Seems to be about 500 cards in line.  It seems that they are bombing the road with water to allow a few cars at a time go through.  Not sure, but that is what it looks like from here.  This is a complexly disorganized evacuation, with no instructions but to leave Yellowknife, no information about a host city and no direction on where to go.  I hope there is a town hallMeeting when we get back.  This is a disorganized mess.  We plan to ca… See more",7,,,Michael Ewen,
"PROTECTIVE SERVICES - Wildfires: NWT & BCAn update on the Wildfire situation across the West that continue to cause havoc in communities in the Northwest Territories and British Columbia. Evacuations spanning from the City of Yellowknife and the Town of Hay River and Fort Smith, right down to West Kelowna across to the Shuswap and Okanagan area.County Firefighters and other First Responders remain committed to responding to any situation when requested by the Province of … See more",41,10 comments,10 comments,Protective Services - County of Vermilion River,
Does anyone know what Anytime fitness gym gonna do with the payment they collected during the evacuation? Will they refund it or give credit ?? Thank you.,2,3 comments,3 comments,Yellowknife current events,
"For anyone affected by evacuation/fire in Kelowna/BC or Yellowknife, we have a room available in our home in Olds, Alberta (an hour north of Calgary). My husband was evacuated by the 2016 Fort McMurray fires and knows what a scary time this is. Safe and clean. We could also probably help out with care for a dog or two. Please if you, or you know someone in need, reach out on here or message me at 780-668-9671.",32,3 comments,3 comments,Jessica Lee-Bristow,
What is Tlicho Government gonna do for us Yellowknife Residents incase we get evacuated? Little to no notice!! Some of us need Gas Vouchers to get out of town!! We can’t rely on this city with a shitty Evacuation Plan!! It’s already near Kam and there’s Huge Gas Tanks big enough blow up it’s surroundings! I’m not hauling my children to Ndilo hoping for the best! Kam Lake is near the Airport if an explosion is to happen what’s going to happen to the AirPort? Help us too! We … See more,10,7 comments,7 comments,Kahtree Nah,
"So 20 thousand people in Yellowknife have been put on evacuation notice to be out by Friday. That's roughly 67% of the NWT population. Only a single 2 lane highway going South and fuel stops far and few between. The best our Federal government can do is very little and our Canadian MSM .....cut off Facebook, Instagram and limit Google information sources to those poor folks . Where's our CrimeMinister......surfing in Tofino.Our government sent a whopping 125 Canadian forces… See more",73,18 comments,18 comments,Arnie Stefaniuk,
"Sending a ton of courage, resilience and good karma to everybody evacuated out of Yellowknife. It is so, so hard to be away from home. Twice I’ve been part of a wildfire-fuelled evacuation, the first one being in Tulita in 1995, and I so get that the stress on people who are away from the community they love is enormous. Being on the ground here is gruelling and exhausting as we work through all the issues to defend our community, to manage the defense, to manage every what-i… See more",99,16 comments,16 comments,Sheila Bassi Kellett,
"Income Assistance ClientsNorth Slave – Yellowknife, and Surrounding AreasResidents of Yellowknife and surrounding areas that received Income Assistance during the month of August 2023 and have been evacuated as a result of the wildfires will be issued the Emergency Allowance benefit by Education, Culture and Employment.The rate of emergency allowance for single applicants is $500 and those with families are $1,000. The emergency allowance payments are being issued and can… See more",1,,,Caroline Wawzonek,
Important question: Will airlines have special rates for evacuees that aren’t in evacuation hubs to allow them to return Yellowknife without breaking the bank? Air CanadaWestJet… See more,13,21 comments,21 comments,Yellowknife current events,
"Anyone hear about this!!! As thousands flee raging wildfires in Yellowknife FACEBOOK hampers vital communications by invoking a NEWS BAN! META you've hit a new LOW!  META and Zuckerberg power-mad playing fast and hard with people's lives! And I thought they were bad for banning my website on Facebook taking the word of a lying stalker who never stops of harassing me. Prayers for all in harm's way. ""Communication issues, fast-spreading rumors and a Facebook news ban have al… See more",17,8 comments,8 comments,PJ Yukon,
CANADA IS BURNING!!!The Yukon is on fire and  the entire city of Yellowknife is being evacuated.   Our cousins living all up and down B.C. are facing new wildfires and evacuation warnings.  The province is engulfed in thick smoke.   There's a fierce wildfire raging near Kelowna and our nephew who lives in the area is under threat.  The smoke from B.C. has hit Calgary making the air dangerous to anyone with breathing difficulties.  Reuters News Agency reports the smoke from … See more,38,9 comments,9 comments,Bob MacKenzie,
"Yellowknife’s evacuation order has been downgraded to an evacuation alert as of 11:00 am on Sept. 6,  so the NWT Pipe Band’s pipers and drummers ￼(along with the rest of the city’s residents) can now return home. Stay tuned for details on when practices will resume!",39,2 comments,2 comments,Northwest Territories Pipe Band,
"At Best Western Hotels in St. Johns, we suppose to travel back to Yellowknife tomorrow but unfortunately there is an evacuation ordered from the government for Yellowknife because of forest fires . Praying for everyone safety",5,,,Gem's Digital Business,
"I’m so sad to hear about the Yellowknife evacuation. Yellowknife is the capital of the Northwest Territories. It is an interesting city of hardy people, living in a very remote region. The entire city of 20,000+ people has been ordered to evacuate due to wildfires, which means leaving from a place that really isn’t well suited for mass evacuation. Specifically, there’s just nowhere close for them to go. The entire territory only has about 46000 people living in an area twice … See more",4,1 comment,1 comment,The Lost Okie,
"The evacuation was horrible but being home is great, but during all this the ball was dropped making sure seniors had enough funds. It is hard enough making end… See more",,,,Marie Flanagan,
"PLEASE NOTE: QIMMIQ KENNELS IS NOT ADOPTING OUT, GIVING AWAY OR SELLING THESE PUPPIES!  IF YOU ARE INTERESTED IN ADOPTING A PUPPY OR AN OLDER DOG, PLEASE CONTAC… See more",,,,Qimmiq Kennels,
"Currently Yellowknife is in Phase 3 of the re-entry process. While the Evacuation Order is still in place, we are starting to contact businesses that are critical to the re-opening of our community to ask them to bring back their critical staff. These staff will then be contacted by their employers. This phased approach is needed to get critical services ready for everyone’s return.",46,3 comments,3 comments,City of Yellowknife,
"Please remember the people of Yellowknife and surrounding areas who are dealing with ""unprecedented"" fires.   Due to FB's blockage of Canadian news, I can't link to a news group but if you search ""Yellowknife fire situation"" you'll discover a lot.Here's a copy of one the text of one of them: YELLOWKNIFE DECLARES LOCAL STATE OF EMERGENCY due to nearby wildfire.   Evacuees are being airlifted as wildfires spread across the Northwest Territories. Communities in northern Albe… See more",65,12 comments,12 comments,June Maffin,
"On behalf of the Yellowknife Co-op Board of Directors we extend our deepest gratitude to Justin and his exceptional team for their unwavering commitment and remarkable efforts during the recent evacuation. Their dedication and resilience were nothing short of extraordinary, and they played an instrumental role in ensuring the safety and well-being of the community.But what makes this moment even more remarkable is how it beautifully exemplifies the strength of the Co-op… See more",189,19 comments,19 comments,YK Co-op,
"Northview has announced the following rent relief for evacuated Yellowknife residents:• August rent will be prorated from the date of the Emergency Evacuation Order, August 18, 2023, and until the Evacuation Order is lifted. Those residents who have had their rental payment processed will have the prorated amount credited to their account; and• September 1st rent will not be processed and will be prorated based on the date when the evacuation order is lifted, and residents … See more",7,6 comments,6 comments,Rent Northview,City of Yellowknife
"Yesterday  many Yellowknife  family  lost their  homes to fire, they are now experiencing  what we all fear  for our selves.",4,,,NWT Fire evacuation experience 2023,
"Here’s something from BBC news about the evacuation of Yellowknife, the Capitol of NORTHWEST TERRITORIES IN CANADA.There are 1100 fires burning in Canada now - - 9 times the number of last year.https://www.bbc.com/news/world-us-canada-66526554....",30,4 comments,4 comments,Erik Johnson,
"lol about to move out of Yellowknife, still haven't gotten a dime from insurance for the fire evacuation 4 months ago, just a big runaround.... the person handling my claim went on training for 4 weeks, heard nothing, maybe they need a few more weeks of training.  Intact Insurance – Intact Assurance garbage",1,1 comment,1 comment,Chris Cartwright,
"Thinking of all of the people impacted by these devastating wildfires. Praying for safety for everyone especially Anthony Ellendt and Antje Rilk .Update: they have made it out of Yellowknife safely, but have a long way to travel",14,13 comments,13 comments,Andrea Ellendt,
'Crisis situation': N.W.T. declares territorial state of emergency over wildfires.    -Wildfire now about 20 kilometres from Yellowknife.    -Yellowknife und… See more,,,,James Vincent Wardhaugh,
"Since the evacuation order, communities from across Western Canada and beyond have opened their hearts and homes to Yellowknifers fleeing the wildfires. From setting up evacuation centres, offering free access to facilities, free meals and gas, entertainment and much more, the City of Yellowknife would like to thank all our neighbours from far and wide for standing by us during this difficult time.",213,48 comments,48 comments,City of Yellowknife,
Thank you City of Yellowknife for an excellent presentation on what the City is currently planning and actions under way for FireSmart and being prepared. It was very informative and helpful.You can link to the recorded version at https://yellowknifent.new.swagit.com/videos/269106A few notes:… See more,47,19 comments,19 comments,Caitlin Cleveland,
"The GNWT has opened up pre-registration for Yellowknife re-entry flights. You can do so online or over the phone.Pre-registration is the first step in developing passenger lists for re-entry flights. From there, appropriate aircraft will be booked based on need in established flight hubs. Pending evacuation orders being downgraded to an evacuation alert, flights will depart as early as Wednesday, September 6 and continue for an estimated five days.Flight hubs across Alber… See more",17,,,Rebecca Alty,
Latest information on the Yellowknife evacuation as of 12 p.m. Aug. 18 now available on www . NNSL . com,2,,,Families With Pets Evacuating Yellowknife 2023,
"In light of the wildfire evacuation, the City of Yellowknife announced that there would be no penalty fees for unpaid property taxes or utility charges. Now that several months have passed, penalties will be reinstated for unpaid taxes and utility charges as of January 31, 2024. More information can be found here: https://www.yellowknife.ca/.../reinstating-penalties-for...",2,,,City of Yellowknife,
Good morning from Yellowknife! When we returned from evacuation I honestly thought we would be coming back to blue skies… and was I ever wrong.,41,13 comments,13 comments,Shona Barbour,
"Earlier today evacuation of Yellowknife, NWT continues.  Residents being sent to Alberta while fires continue to rage.  Earlier in the week Enterprise, a town located close to the Alberta border went up in flames.  Causing close to 20,000 more people to join the ranks of losing businesses and homes.  The GNWT has offered to match donations.  The United Way of the NWT is where funds can be donated.  Please contact and check for accuracy of that as things can change no matter w… See more",3,,,Susanna Hansen,
"So… A couple of long days. For the evacuation of Yellowknife all has worked out for us. Kristen  and Katie in one vehicle and Joe in his, drove 18 hours straight to Edmonton arriving just before midnight. Katie and Kristen shared the driving but Joe drove the whole way by himself! I was at the mine when the evacuation order was given. I only found out at 4 pm that I had a seat on the only flight out of camp. This flight got me to Edmonton at about midnight. We are in a hotel … See more",103,43 comments,43 comments,Don Cameron,
"As wildfires inch closer to the Northwest Territories’ capital of Yellowknife, several airlines flying out of the city are adjusting schedules and fares as residents try to book flights out in the wake of an evacuation order.",172,9 comments,9 comments,Inside Edition,
"We have resumed guest services after the evacuation of Yellowknife ended.  Our first guests arrived from Japan and our 2nd guest is from Taiwan.   We are fully operational again.   Aurora has been fantastic, we have even managed to see some through the clouds.",49,5 comments,5 comments,Yellow Dog Lodge Transportation Hub,Yellow Dog Lodge Transportation Hub
"Note your ARE required to provide a void cheque issued by your bank or bank app showing account holder, bank ID, bank transit number & bank account. Send your info to metiswildfire@nwtmetis.ca See ad for more information. … See more",2,,,Fort Smith Metis Council,
"Rant to First Transit, the school bus company.  Kids are completing their 2nd week of school and no sign of bus passes. Even for people who applied on the first day. How are you not done at least some of the passes? And rant for ignoring inquiry emails. Using last year’s pass doesn’t work if you’ve moved, changed schools, changed after school care, started kindergarten, ect…I get you are behind cause the evacuation, but this is excessive now.",28,15 comments,15 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
please watch for more details.  when I find out more will post here,1,,,Yellowknife Senior Society,
New Funding is available for Evacuees and Small Businesses: Evacuation Travel Support Program:• The Evacuation Travel Support Program is available to NWT r… See more,,,,Government of the Northwest Territories,
"For anyone who has litters of puppies, please make sure that they are vaccinated right away. They can have their first shots at 6 weeks. Second shots at 10 weeks and third shots at 15 weeks. Most of all the dogs that were housed in Yellowknife during our evacuation, we're vaccinated. If you're not sure if your dog was vaccinated, please make sure they are up to date. There is parvo going around. Parvo is a dog sickness that can cause bleeding and suffering to the animal. It m… See more",11,8 comments,8 comments,Tłįchọ Animal Care Group,
"The last residents of Yellowknife, the capital of Canada's Northwest Territories, rushed to beat Friday's noon deadline to evacuate as a wildfire moved closer to the city of 20,000. Firefighters worked to keep the only route in and out of Yellowknife open to facilitate evacuation efforts.",39,4 comments,4 comments,FRANCE 24 English,
"Devastating wildfires in British Columbia and the Northwest Territories continue to spread, putting the cities of Yellowknife and Kelowna at risk in Canada's worst wildfire season on record. Officials have declared a state of emergency and issued evacuation orders for residents in affected areas. The fires have burned approximately 26,000 acres and pose a significant threat. #environment- summary © am1.news -Read the original story and more like it on our website. We can … See more",1,,,America First News,
